run_id,timestamp,configuration,model,quantization,query_type,query_id,context_limit,generated_tokens,latency_seconds,tokens_per_second,free_memory_mb,available_memory_mb,memory_pressure,swap_mb,thread_count,kv_policy,truncated,process_failure,http_status,error_code,data_status
1,2026-09-23T00:00:00Z,Static-Safe,Llama-3.2-1B-Instruct,Q4_K_M,long_context,1,512,129,2.99,43.21,66.59,1570.64,Normal,,4,0,False,False,200,VALID,VALID
2,2026-09-23T00:00:00Z,Static-Safe,Llama-3.2-1B-Instruct,Q4_K_M,short_factual,2,512,129,1.92,67.08,60.0,1567.47,Normal,,4,0,False,False,200,VALID,VALID
3,2026-09-23T00:00:00Z,Static-Safe,Llama-3.2-1B-Instruct,Q4_K_M,multi_turn,3,512,2,0.21,9.49,62.61,1551.06,Normal,,4,0,False,False,200,VALID,VALID
4,2026-09-23T00:00:00Z,Static-Safe,Llama-3.2-1B-Instruct,Q4_K_M,multi_turn,4,512,127,2.08,61.01,66.88,1494.59,Normal,,4,0,False,False,200,VALID,VALID
5,2026-09-23T00:00:00Z,Static-Safe,Llama-3.2-1B-Instruct,Q4_K_M,short_factual,5,512,129,2.02,63.91,60.75,1479.58,Normal,,4,0,False,False,200,VALID,VALID
6,2026-09-23T00:00:00Z,Static-Safe,Llama-3.2-1B-Instruct,Q4_K_M,short_factual,6,512,129,1.92,67.26,63.27,1486.34,Normal,,4,0,False,False,200,VALID,VALID
7,2026-09-23T00:00:00Z,Static-Safe,Llama-3.2-1B-Instruct,Q4_K_M,short_factual,7,512,129,1.9,67.93,59.59,1489.72,Normal,,4,0,False,False,200,VALID,VALID
8,2026-09-23T00:00:00Z,Static-Safe,Llama-3.2-1B-Instruct,Q4_K_M,long_context,8,512,129,6.01,21.46,63.42,1374.84,Normal,,4,0,False,False,200,VALID,VALID
9,2026-09-23T00:00:00Z,Static-Safe,Llama-3.2-1B-Instruct,Q4_K_M,long_context,9,512,129,307.35,0.42,62.88,1893.02,Normal,,4,0,False,False,200,VALID,VALID
10,2026-09-23T00:00:00Z,Static-Safe,Llama-3.2-1B-Instruct,Q4_K_M,multi_turn,10,512,66,1.18,56.16,62.48,1898.22,Normal,,4,0,False,False,200,VALID,VALID
11,2026-09-23T00:00:00Z,Static-Safe,Llama-3.2-1B-Instruct,Q4_K_M,short_factual,11,512,129,2.02,63.91,66.95,1881.62,Normal,,4,0,False,False,200,VALID,VALID
12,2026-09-23T00:00:00Z,Static-Safe,Llama-3.2-1B-Instruct,Q4_K_M,long_context,12,512,129,3.12,41.37,76.27,1868.8,Normal,,4,0,False,False,200,VALID,VALID
13,2026-09-23T00:00:00Z,Static-Safe,Llama-3.2-1B-Instruct,Q4_K_M,short_factual,13,512,129,1.92,67.3,63.86,1876.5,Normal,,4,0,False,False,200,VALID,VALID
14,2026-09-23T00:00:00Z,Static-Safe,Llama-3.2-1B-Instruct,Q4_K_M,short_factual,14,512,129,58.21,2.22,62.91,1659.62,Normal,,4,0,False,False,200,VALID,VALID
15,2026-09-23T00:00:00Z,Static-Safe,Llama-3.2-1B-Instruct,Q4_K_M,long_context,15,512,129,402.42,0.32,64.47,1467.94,Normal,,4,0,False,False,200,VALID,VALID
16,2026-09-23T00:00:00Z,Static-Safe,Llama-3.2-1B-Instruct,Q4_K_M,multi_turn,16,512,97,1.63,59.64,61.22,1485.06,Normal,,4,0,False,False,200,VALID,VALID
17,2026-09-23T00:00:00Z,Static-Safe,Llama-3.2-1B-Instruct,Q4_K_M,short_factual,17,512,129,2.2,58.77,60.53,1451.97,Normal,,4,0,False,False,200,VALID,VALID
18,2026-09-23T00:00:00Z,Static-Safe,Llama-3.2-1B-Instruct,Q4_K_M,short_factual,18,512,4,0.1,40.1,60.53,1451.97,Normal,,4,0,False,False,200,VALID,VALID
19,2026-09-23T00:00:00Z,Static-Safe,Llama-3.2-1B-Instruct,Q4_K_M,long_context,19,512,129,3.06,42.22,62.08,1466.97,Normal,,4,0,False,False,200,VALID,VALID
20,2026-09-23T00:00:00Z,Static-Capable,Llama-3.2-1B-Instruct,Q8_0,long_context,1,8192,129,606.7,0.21,67.06,1678.25,Normal,,4,0,False,False,200,VALID,VALID
21,2026-09-23T00:00:00Z,Static-Capable,Llama-3.2-1B-Instruct,Q8_0,short_factual,2,8192,57,2.04,27.92,53.36,1614.14,Normal,,4,0,False,False,200,VALID,VALID
22,2026-09-23T00:00:00Z,Static-Capable,Llama-3.2-1B-Instruct,Q8_0,multi_turn,3,8192,129,3.92,32.92,75.25,1679.61,Normal,,4,0,False,False,200,VALID,VALID
23,2026-09-23T00:00:00Z,Static-Capable,Llama-3.2-1B-Instruct,Q8_0,multi_turn,4,8192,125,3.13,40.0,67.16,1725.88,Normal,,4,0,False,False,200,VALID,VALID
24,2026-09-23T00:00:00Z,Static-Capable,Llama-3.2-1B-Instruct,Q8_0,short_factual,5,8192,129,4.28,30.11,59.47,1658.77,Normal,,4,0,False,False,200,VALID,VALID
25,2026-09-23T00:00:00Z,Static-Capable,Llama-3.2-1B-Instruct,Q8_0,short_factual,6,8192,129,2.88,44.71,61.08,1805.02,Normal,,4,0,False,False,200,VALID,VALID
26,2026-09-23T00:00:00Z,Static-Capable,Llama-3.2-1B-Instruct,Q8_0,short_factual,7,8192,129,30.24,4.27,59.22,1784.56,Normal,,4,0,False,False,200,VALID,VALID
27,2026-09-23T00:00:00Z,Static-Capable,Llama-3.2-1B-Instruct,Q8_0,long_context,8,8192,2,12.44,0.16,66.19,1916.94,Normal,,4,0,False,False,200,VALID,VALID
28,2026-09-23T00:00:00Z,Static-Capable,Llama-3.2-1B-Instruct,Q8_0,long_context,9,8192,129,14.75,8.74,79.3,1890.03,Normal,,4,0,False,False,200,VALID,VALID
29,2026-09-23T00:00:00Z,Static-Capable,Llama-3.2-1B-Instruct,Q8_0,multi_turn,10,8192,129,2.98,43.24,65.53,1912.84,Normal,,4,0,False,False,200,VALID,VALID
30,2026-09-23T00:00:00Z,Static-Capable,Llama-3.2-1B-Instruct,Q8_0,short_factual,11,8192,129,2.82,45.75,68.45,1919.52,Normal,,4,0,False,False,200,VALID,VALID
31,2026-09-23T00:00:00Z,Static-Capable,Llama-3.2-1B-Instruct,Q8_0,long_context,12,8192,129,1172.81,0.11,63.0,1670.81,Normal,,4,0,False,False,200,VALID,VALID
32,2026-09-23T00:00:00Z,Static-Capable,Llama-3.2-1B-Instruct,Q8_0,short_factual,13,8192,129,453.6,0.28,79.73,1856.33,Normal,,4,0,False,False,200,VALID,VALID
33,2026-09-23T00:00:00Z,Static-Capable,Llama-3.2-1B-Instruct,Q8_0,short_factual,14,8192,129,3.19,40.39,36.25,1858.55,Normal,,4,0,False,False,200,VALID,VALID
34,2026-09-23T00:00:00Z,Static-Capable,Llama-3.2-1B-Instruct,Q8_0,long_context,15,8192,129,132.78,0.97,61.08,2170.05,Normal,,4,0,False,False,200,VALID,VALID
35,2026-09-23T00:00:00Z,Static-Capable,Llama-3.2-1B-Instruct,Q8_0,multi_turn,16,8192,129,3.12,41.31,65.56,2166.91,Normal,,4,0,False,False,200,VALID,VALID
36,2026-09-23T00:00:00Z,Static-Capable,Llama-3.2-1B-Instruct,Q8_0,short_factual,17,8192,113,2.71,41.62,60.59,2154.09,Normal,,4,0,False,False,200,VALID,VALID
37,2026-09-23T00:00:00Z,Static-Capable,Llama-3.2-1B-Instruct,Q8_0,short_factual,18,8192,129,4.58,28.19,62.55,1856.31,Normal,,4,0,False,False,200,VALID,VALID
38,2026-09-23T00:00:00Z,Static-Capable,Llama-3.2-1B-Instruct,Q8_0,long_context,19,8192,129,95.68,1.35,61.55,1843.33,Normal,,4,0,False,False,200,VALID,VALID
39,2026-09-23T00:00:00Z,ACB,Llama-3.2-1B-Instruct,dynamic,multi_turn,0,dynamic,973,53.14,18.31,65.39,1682.77,Normal,,7,0,False,False,200,VALID,VALID
40,2026-09-23T00:00:00Z,ACB,Llama-3.2-1B-Instruct,Q4_K_M,short_factual,2,4173,2,0.19,10.27,60.14,2272.47,Normal,,7,0,False,False,200,VALID,VALID
41,2026-09-23T00:00:00Z,ACB,Llama-3.2-1B-Instruct,Q4_K_M,multi_turn,4,4173,56,1.54,36.38,68.34,2245.31,Normal,,7,0,False,False,200,VALID,VALID
42,2026-09-23T00:00:00Z,ACB,Llama-3.2-1B-Instruct,Q4_K_M,short_factual,5,4173,86,2.15,40.04,70.11,2284.72,Normal,,7,0,False,False,200,VALID,VALID
43,2026-09-23T00:00:00Z,ACB,Llama-3.2-1B-Instruct,Q4_K_M,short_factual,7,4173,973,44.18,22.03,67.03,1769.45,Normal,,7,0,False,False,200,VALID,VALID
44,2026-09-23T00:00:00Z,ACB,Llama-3.2-1B-Instruct,Q4_K_M,long_context,9,4173,102,2.75,37.14,68.31,2086.56,Normal,,7,0,False,False,200,VALID,VALID
45,2026-09-23T00:00:00Z,ACB,Llama-3.2-1B-Instruct,Q4_K_M,short_factual,11,4173,973,47.58,20.45,61.56,1717.58,Normal,,7,0,False,False,200,VALID,VALID
46,2026-09-23T00:00:00Z,ACB,Llama-3.2-1B-Instruct,Q4_K_M,short_factual,13,4173,359,13.33,26.93,66.3,1874.11,Normal,,7,0,False,False,200,VALID,VALID
47,2026-09-23T00:00:00Z,ACB,Llama-3.2-1B-Instruct,Q4_K_M,long_context,15,4173,877,17.27,50.77,67.23,1917.08,Normal,,7,0,False,False,200,VALID,VALID
48,2026-09-23T00:00:00Z,ACB,Llama-3.2-1B-Instruct,Q4_K_M,short_factual,17,4173,457,11.83,38.64,60.94,1868.31,Normal,,7,0,False,False,200,VALID,VALID
